Open,High,Low,Close,Adjusted_close,Volume
175.46,176.89,173.69,174.19,173.2694,1141152
175.07,177.41,174.28,176.98,176.0447,753333
176.76,178.73,175.67,178.64,177.6959,944519
177.55,178.11,175.32,175.97,175.04,669692
175.9,175.9,171.46,171.53,171.53,809729
168.95,170.81,168.08,169.3,169.3,1181965
167.12,171.125,166.79,167.71,167.71,1784768
169.05,169.32,165.05,166.31,166.31,1318775
167.5,168.96,163.56,165.54,165.54,1374646
163.26,163.66,160.87,161.38,161.38,1451106
161.04,162.59,160.24,161.88,161.88,2366792
164.73,164.73,161.25,162.63,162.63,1136878
160.87,164.37400000000002,160.35,163.15,163.15,997332
162.76,163.78,158.35,159.77,159.77,1278651
160.25,167.085,160.25,166.72,166.72,1296795
167.33,168.23,166.38,167.49,167.49,762132
168.43,170.645,167.42,167.47,167.47,1061739
167.98,168.45,165.53,165.8,165.8,719783
164.61,169.5,163.66,169.13,169.13,1336100
168.82,171.96,167.45,171.18,171.18,1033561
169.02,169.02,163.93,167.2,167.2,1028050
166.78,171.35,166.705,169.9,169.9,1366778
172.0,173.21,169.42,169.63,169.63,1155052
170.34,171.12,168.92,169.0,169.0,689869
168.13,170.42,168.09,168.52,168.52,883144
167.18,169.09,164.79,165.28,165.28,1032133
164.41,165.48,162.77,163.32,163.32,1022300
159.39,160.025,155.31,155.68,155.68,1654529
157.13,158.12,155.5101,156.18,156.18,1561978
157.24,157.905,154.565,154.99,154.99,1098027
156.36,158.58,155.82,158.35,158.35,1288252
158.43,158.63,156.36,158.2,158.2,1271755
157.18,159.4,152.17,156.83,156.83,2080777
157.14,158.2099,155.48,156.42,156.42,880992
158.49,160.51,157.57,159.98,159.98,1176360
159.76,160.96,159.33,160.86,160.86,1107482
161.32,161.66,157.26,158.96,158.96,1456404
158.65,158.89,152.11,155.74,155.74,1458797
156.05,158.88,156.05,158.7,158.7,1361114
157.93,158.19,155.15,156.27,156.27,1263324
156.62,159.65,155.99,156.71,156.71,1656940
